pidlink,kw03,kw04
028290002,,
028290003,1.0,3:Self
028300003,,
029020004,1.0,
029040008,,
029043206,,
029045202,1.0,3:Self
029050003,1.0,3:Self
029050006,,
029060002,1.0,3:Self
029070005,,
029074202,1.0,1:Parent
029090007,1.0,3:Self
029094102,,
029094202,,
029110001,,
029120006,1.0,1:Parent
029121102,,
029140002,,
029164102,,
029170002,,
029170007,1.0,3:Self
029170009,,
029175102,1.0,1:Parent
029180005,1.0,1:Parent
029185102,1.0,3:Self
029240003,1.0,3:Self
029244102,1.0,3:Self
029273102,,
029293102,,
030010004,,
030011102,1.0,1:Parent
030030002,,
030070003,,
030100005,,
030120002,1.0,3:Self
030130003,,
030160002,,
030165102,1.0,3:Self
030173102,,
030174102,,
030180005,,
030181102,,
030190004,1.0,3:Self
030200002,,
030210005,,
030210007,1.0,3:Self
030210009,1.0,3:Self
030240007,1.0,3:Self
030250005,,
030260002,,
030263102,,
030280003,1.0,3:Self
030280005,,
030280006,1.0,3:Self
030285202,1.0,3:Self
030290002,,
030290003,,
031010002,,
031020002,1.0,
031020003,1.0,3:Self
031030002,,
031030003,,
031030004,,
031030005,1.0,3:Self
031050004,,
031050006,1.0,3:Self
031060002,,
031070001,,
031080003,1.0,95:Other
031083102,,
031120003,1.0,
031123202,,
031123302,,
031124102,,
031130002,,
031143102,,
031190003,,
031190005,,
031210005,,
031220003,1.0,1:Parent
031220004,1.0,3:Self
031230006,1.0,3:Self
031233103,,
031240004,,
031250004,,
031250005,,
031250006,1.0,4:Family
031254103,1.0,3:Self
031270002,,
031281102,,
031290003,,
031290005,,
031295102,1.0,3:Self
031300004,,
031300005,1.0,3:Self
032010003,,
032020003,1.0,
032030004,,
032034102,,
032034202,,
032040002,,
032050003,,
032050005,1.0,
032050006,,
032050011,1.0,3:Self
032054404,1.0,3:Self
032060002,,
032080003,,
032080005,1.0,3:Self
032090004,1.0,
032093104,,
032094102,1.0,1:Parent
032110002,,
032110005,,
032110006,1.0,95:Other
032114202,,
032115102,1.0,1:Parent
032120004,,
032120005,2.0,3:Self
032120006,,
032130004,,
032140003,,
032140004,,
032140006,,
032144202,,
032160003,,
032165102,1.0,1:Parent
032173103,1.0,1:Parent
032190002,,
032195102,1.0,3:Self
032200002,,
032200007,1.0,3:Self
032205102,1.0,3:Self
032205205,1.0,3:Self
032250002,,
032250003,1.0,3:Self
032254102,1.0,3:Self
032270002,,
032274202,1.0,3:Self
032280004,,
032280005,,
032281102,,
032281103,1.0,3:Self
032290003,,
032290006,,
032295002,1.0,3:Self
032300004,1.0,1:Parent
