pidlink,sex,age,age_squared,education,urban,monthly_income,log_income,marstat,ever_married,is_divorced,is_jawa,is_sunda,pwt14xa
044030009,Male,28.0,784.0,9.0,1,5000000.0,15.424948670398354,Married,1,0,0,0,1.1230651140213013
044034101,Male,33.0,1089.0,15.0,1,6000000.0,15.607270193858982,Married,1,0,0,0,0.7994408011436462
044044103,Male,37.0,1369.0,12.0,1,2000000.0,14.508658238524095,Married,1,0,0,0,1.0917372703552246
044050004,Male,28.0,784.0,12.0,1,2000000.0,14.508658238524095,Married,1,0,0,0,1.1230651140213013
044050007,Female,23.0,529.0,15.0,0,600000.0,13.304686600863562,Married,1,0,0,0,0.5721980929374695
044050008,Male,20.0,400.0,16.0,1,100000.0,11.51293546492023,Never Married,0,0,0,0,0.9335048794746399
044050011,Male,26.0,676.0,12.0,0,3000000.0,14.914123179965662,Married,1,0,0,1,0.7004172205924988
044060002,Female,43.0,1849.0,6.0,1,1000000.0,13.815511557963774,Married,1,0,0,0,1.0439298152923584
044060004,Male,21.0,441.0,9.0,1,500000.0,13.122365377402328,Never Married,0,0,0,0,0.9335048794746399
044065103,Male,24.0,576.0,9.0,1,2800000.0,14.845130332288226,Married,1,0,0,0,0.9335048794746399
044080001,Male,51.0,2601.0,12.0,1,6500000.0,15.687312888712007,Married,1,0,1,0,1.1940598487854004
044080004,Male,23.0,529.0,16.0,1,600000.0,13.304686600863562,Never Married,0,0,1,0,0.9335048794746399
044085101,Male,29.0,841.0,12.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,0.7004172205924988
044090001,Male,52.0,2704.0,12.0,1,4500000.0,15.319588176962746,Married,1,0,0,0,1.1940598487854004
044090003,Male,28.0,784.0,15.0,0,1800000.0,14.403297778421795,Married,1,0,0,0,0.7004172205924988
044090004,Female,25.0,625.0,16.0,1,600000.0,13.304686600863562,Never Married,0,0,0,0,0.623700737953186
044100003,Female,35.0,1225.0,16.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,0.9372068047523499
044100005,Male,27.0,729.0,16.0,1,3000000.0,14.914123179965662,Never Married,0,0,0,0,1.1230651140213013
044104105,Male,38.0,1444.0,6.0,1,8000000.0,15.894952224644102,Married,1,0,0,0,0.7994408011436462
044120003,Male,33.0,1089.0,12.0,1,3500000.0,15.068273812173887,Married,1,0,0,0,0.7994408011436462
044120004,Female,26.0,676.0,16.0,1,6500000.0,15.687312888712007,Never Married,0,0,0,0,0.623700737953186
044120007,Male,24.0,576.0,12.0,0,2750000.0,14.827111833279051,Married,1,0,0,0,1.2518891096115112
044121105,Female,31.0,961.0,16.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,0.9372068047523499
044130005,Male,46.0,2116.0,9.0,1,2700000.0,14.80876270134486,Married,1,0,1,0,1.001433253288269
044130007,Male,19.0,361.0,12.0,1,1000000.0,13.815511557963774,Never Married,0,0,1,0,0.8227964639663696
044140001,Male,47.0,2209.0,12.0,1,5000000.0,15.424948670398354,Married,1,0,1,0,1.001433253288269
044140002,Male,45.0,2025.0,12.0,0,32000000.0,17.281246492014,Married,1,0,1,0,1.4407862424850464
044150006,Male,30.0,900.0,12.0,1,1850000.0,14.430696737594902,Married,1,0,0,0,0.7994408011436462
044154204,Male,29.0,841.0,9.0,1,1000000.0,13.815511557963774,Married,1,0,0,0,1.1230651140213013
044160001,Male,53.0,2809.0,6.0,1,1500000.0,14.220976332738882,Married,1,0,0,0,1.1940598487854004
044160003,Male,32.0,1024.0,12.0,1,2700000.0,14.80876270134486,Married,1,0,0,0,0.7994408011436462
044160005,Female,27.0,729.0,16.0,1,3000000.0,14.914123179965662,Married,1,0,1,0,1.2742904424667358
044180002,Male,34.0,1156.0,12.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,0.7710112929344177
044180006,Female,50.0,2500.0,6.0,0,1000000.0,13.815511557963774,Married,1,0,0,0,1.2290230989456177
044180008,Male,39.0,1521.0,12.0,0,2200000.0,14.603968372873895,Never Married,0,0,0,0,0.7710112929344177
044192101,Male,44.0,1936.0,12.0,1,5000000.0,15.424948670398354,Married,1,0,1,0,1.001433253288269
044210003,Female,38.0,1444.0,16.0,1,2900000.0,14.88022163978423,Married,1,0,1,0,0.7842015624046326
044230001,Male,60.0,3600.0,12.0,0,200000.0,12.206077645517674,Married,1,0,0,0,1.3231120109558105
044230004,Male,36.0,1296.0,12.0,1,5000000.0,15.424948670398354,Married,1,0,0,0,0.7994408011436462
044230010,Male,58.0,3364.0,12.0,0,12000000.0,16.300417291085605,Married,1,0,0,0,1.3231120109558105
044234101,Male,37.0,1369.0,12.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,0.7710112929344177
044234202,Female,33.0,1089.0,12.0,1,600000.0,13.304686600863562,Married,1,0,1,0,0.7842015624046326
044240003,Male,33.0,1089.0,12.0,1,2500000.0,14.731801689838349,Married,1,0,0,0,0.7994408011436462
044244201,Male,30.0,900.0,6.0,1,1500000.0,14.220976332738882,Married,1,0,1,0,0.7994408011436462
044250004,Male,30.0,900.0,12.0,1,20000000.0,16.811242881518265,Married,1,0,0,0,0.7994408011436462
044260003,Male,26.0,676.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,1,0,1.1230651140213013
044260004,Male,21.0,441.0,12.0,1,2000000.0,14.508658238524095,Never Married,0,0,0,0,0.9335048794746399
044260005,Male,55.0,3025.0,9.0,1,1400000.0,14.151983508870947,Never Married,0,0,0,0,1.1940598487854004
044263105,Male,25.0,625.0,15.0,1,1000000.0,13.815511557963774,Married,1,0,0,0,1.1230651140213013
044290005,Male,28.0,784.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,0,0,0.896437406539917
044290006,Male,24.0,576.0,12.0,1,0.0,0.0,Never Married,0,0,0,0,1.228731393814087
044294101,Male,37.0,1369.0,16.0,1,2400000.0,14.690979711984754,Married,1,0,0,1,0.8334788680076599
044300004,Male,49.0,2401.0,12.0,0,4000000.0,15.201805169084134,Married,1,0,1,0,1.2785468101501465
044300010,Male,27.0,729.0,16.0,1,2300000.0,14.648420115681892,Never Married,0,0,0,0,1.1230651140213013
045020002,Male,44.0,1936.0,12.0,0,2500000.0,14.731801689838349,Married,1,0,0,0,1.2785468101501465
045020003,Female,39.0,1521.0,12.0,0,1100000.0,13.910821646859095,Married,1,0,0,0,0.9372068047523499
045030002,Male,49.0,2401.0,12.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,1.2785468101501465
045050001,Male,57.0,3249.0,6.0,0,600000.0,13.304686600863562,Married,1,0,0,0,1.3231120109558105
045050003,Male,23.0,529.0,9.0,0,600000.0,13.304686600863562,Never Married,0,0,0,0,1.2518891096115112
045070010,Male,25.0,625.0,12.0,0,500000.0,13.122365377402328,Married,1,0,1,0,0.7004172205924988
045100006,Female,28.0,784.0,16.0,0,300000.0,12.611541086966115,Never Married,0,0,0,0,0.574699342250824
045104101,Male,37.0,1369.0,9.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,0.7710112929344177
045110007,Male,18.0,324.0,12.0,0,0.0,0.0,Never Married,0,0,0,0,1.2101514339447021
045110009,Female,74.0,5476.0,6.0,0,215000.0,12.278397958261774,Widowed,1,0,0,0,0.78288733959198
045120001,Male,44.0,1936.0,6.0,0,600000.0,13.304686600863562,Married,1,0,0,0,1.2785468101501465
045150006,Male,38.0,1444.0,12.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,0.7710112929344177
045150015,Male,31.0,961.0,9.0,0,800000.0,13.592368256649284,Married,1,0,0,0,0.7710112929344177
045153207,Male,43.0,1849.0,6.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,1.2785468101501465
045155101,Male,24.0,576.0,9.0,0,1800000.0,14.403297778421795,Married,1,0,0,0,1.2518891096115112
045170003,Female,36.0,1296.0,12.0,0,600000.0,13.304686600863562,Widowed,1,0,0,0,0.9372068047523499
045170004,Male,32.0,1024.0,12.0,0,2800000.0,14.845130332288226,Married,1,0,0,0,0.7710112929344177
045170008,Female,25.0,625.0,6.0,0,0.0,0.0,Married,1,0,0,0,0.574699342250824
045180004,Male,32.0,1024.0,12.0,0,8700000.0,15.978833698567334,Married,1,0,0,0,0.7710112929344177
045180007,Female,24.0,576.0,16.0,1,1000000.0,13.815511557963774,Never Married,0,0,0,0,0.9719610810279846
045184101,Male,36.0,1296.0,6.0,0,640000.0,13.369225017834633,Married,1,0,0,0,0.7710112929344177
045190006,Male,20.0,400.0,12.0,0,1500000.0,14.220976332738882,Never Married,0,0,0,0,1.2518891096115112
045210006,Male,29.0,841.0,16.0,0,0.0,0.0,Married,1,0,0,0,0.7004172205924988
045220005,Male,28.0,784.0,9.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,0.7004172205924988
045220007,Male,23.0,529.0,9.0,0,400000.0,12.899222326086994,Never Married,0,0,0,0,1.2518891096115112
045230001,Male,47.0,2209.0,6.0,0,1000000.0,13.815511557963774,Married,1,0,0,0,1.2785468101501465
045230005,Male,24.0,576.0,9.0,0,800000.0,13.592368256649284,Married,1,0,0,0,1.2518891096115112
045244107,Male,46.0,2116.0,9.0,0,1500000.0,14.220976332738882,Married,1,0,1,0,1.2785468101501465
045244301,Male,38.0,1444.0,12.0,0,0.0,0.0,Married,1,0,0,0,0.7710112929344177
045250002,Male,38.0,1444.0,9.0,0,0.0,0.0,Married,1,0,0,0,0.7710112929344177
045250006,Male,27.0,729.0,6.0,0,0.0,0.0,Married,1,0,0,0,0.7004172205924988
045252106,Female,38.0,1444.0,6.0,0,100000.0,11.51293546492023,Married,1,0,0,0,0.9372068047523499
045260003,Male,39.0,1521.0,6.0,0,50000.0,10.819798284210286,Married,1,0,0,0,0.7710112929344177
045260005,Male,32.0,1024.0,9.0,0,600000.0,13.304686600863562,Married,1,0,0,0,0.7710112929344177
045260006,Male,30.0,900.0,9.0,0,800000.0,13.592368256649284,Married,1,0,0,0,0.7710112929344177
045263202,Female,34.0,1156.0,9.0,0,800000.0,13.592368256649284,Married,1,0,0,0,0.9372068047523499
045273101,Male,41.0,1681.0,16.0,1,4800000.0,15.38412668421143,Married,1,0,0,0,1.001433253288269
045283104,Male,40.0,1600.0,12.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,1.2785468101501465
045290005,Male,35.0,1225.0,6.0,0,1400000.0,14.151983508870947,Married,1,0,0,0,0.7710112929344177
045290010,Male,22.0,484.0,9.0,0,2000000.0,14.508658238524095,Divorced,1,1,0,0,1.2518891096115112
045290011,Female,47.0,2209.0,6.0,1,160000.0,11.982935344196433,Married,1,0,0,0,1.0439298152923584
045290012,Male,18.0,324.0,6.0,1,1800000.0,14.403297778421795,Never Married,0,0,0,0,0.8227964639663696
045294301,Male,41.0,1681.0,9.0,0,1000000.0,13.815511557963774,Married,1,0,0,0,1.2785468101501465
045300003,Male,50.0,2500.0,16.0,1,225000.0,12.323860125621126,Married,1,0,0,0,1.1940598487854004
045303103,Female,19.0,361.0,15.0,0,200000.0,12.206077645517674,Never Married,0,0,0,0,0.7074621915817261
046020005,Male,27.0,729.0,12.0,1,5500000.0,15.520258832020865,Never Married,0,0,0,0,0.45381197333335876
046030001,Male,45.0,2025.0,6.0,1,3500000.0,15.068273812173887,Married,1,0,0,0,1.001433253288269
046035101,Male,30.0,900.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,0,0,0.7994408011436462
046040001,Male,51.0,2601.0,9.0,1,5000000.0,15.424948670398354,Married,1,0,0,0,1.1940598487854004
046050003,Male,44.0,1936.0,9.0,1,900000.0,13.710151153416941,Married,1,0,1,0,1.001433253288269
046050005,Male,37.0,1369.0,9.0,1,3000000.0,14.914123179965662,Married,1,0,1,0,0.7994408011436462
046050006,Male,35.0,1225.0,9.0,1,2100000.0,14.557448378884015,Widowed,1,0,0,0,0.7994408011436462
046052102,Female,43.0,1849.0,6.0,1,600000.0,13.304686600863562,Married,1,0,1,0,1.0439298152923584
046060003,Male,43.0,1849.0,12.0,1,2000000.0,14.508658238524095,Married,1,0,0,1,1.001433253288269
046060008,Male,40.0,1600.0,6.0,1,2000000.0,14.508658238524095,Married,1,0,0,1,1.001433253288269
046063101,Male,43.0,1849.0,9.0,1,1600000.0,14.285514812209815,Married,1,0,1,0,1.001433253288269
046070002,Male,41.0,1681.0,12.0,1,800000.0,13.592368256649284,Married,1,0,1,0,1.001433253288269
046070003,Male,40.0,1600.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,1,0,1.001433253288269
046070004,Female,36.0,1296.0,12.0,1,2000000.0,14.508658238524095,Married,1,0,1,0,0.7842015624046326
046074201,Male,34.0,1156.0,12.0,1,8000000.0,15.894952224644102,Married,1,0,1,0,0.7994408011436462
046080001,Male,49.0,2401.0,12.0,1,10000000.0,16.118095750958314,Married,1,0,0,0,1.001433253288269
046085101,Male,29.0,841.0,16.0,0,4500000.0,15.319588176962746,Married,1,0,0,0,0.7004172205924988
046100003,Male,35.0,1225.0,16.0,1,900000.0,13.710151153416941,Never Married,0,0,0,0,0.7994408011436462
046100006,Female,50.0,2500.0,16.0,1,13000000.0,16.380459992348886,Married,1,0,0,0,1.1430391073226929
046100010,Female,57.0,3249.0,16.0,1,4000000.0,15.201805169084134,Married,1,0,0,0,1.1430391073226929
046101108,Male,46.0,2116.0,16.0,1,2600000.0,14.77102238760702,Married,1,0,1,0,1.001433253288269
046110004,Male,24.0,576.0,12.0,1,2100000.0,14.557448378884015,Never Married,0,0,0,1,0.9335048794746399
046130001,Male,55.0,3025.0,9.0,1,6000000.0,15.607270193858982,Married,1,0,0,0,1.1940598487854004
046130002,Female,50.0,2500.0,15.0,1,4500000.0,15.319588176962746,Married,1,0,0,0,1.1430391073226929
046131105,Male,28.0,784.0,12.0,0,600000.0,13.304686600863562,Never Married,0,0,0,0,0.7004172205924988
046131107,Female,24.0,576.0,16.0,0,200000.0,12.206077645517674,Never Married,0,0,0,0,0.5721980929374695
046140003,Male,32.0,1024.0,12.0,1,7000000.0,15.76142084987672,Married,1,0,0,0,0.40808114409446716
046150004,Male,25.0,625.0,12.0,1,3500000.0,15.068273812173887,Married,1,0,0,0,1.1230651140213013
046150007,Male,25.0,625.0,16.0,1,1000000.0,13.815511557963774,Married,1,0,0,0,1.1230651140213013
046160001,Male,53.0,2809.0,6.0,1,800000.0,13.592368256649284,Married,1,0,0,0,1.1940598487854004
046160002,Female,57.0,3249.0,6.0,1,200000.0,12.206077645517674,Married,1,0,1,0,1.1430391073226929
046160004,Male,40.0,1600.0,6.0,1,1900000.0,14.45736497045232,Married,1,0,1,0,1.001433253288269
046170003,Male,55.0,3025.0,6.0,1,5000000.0,15.424948670398354,Married,1,0,0,0,1.1940598487854004
046173101,Male,43.0,1849.0,15.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,2.6906795501708984
046180004,Female,49.0,2401.0,16.0,1,1000000.0,13.815511557963774,Married,1,0,1,0,1.0439298152923584
046182103,Male,50.0,2500.0,12.0,1,7000000.0,15.76142084987672,Married,1,0,1,0,1.1940598487854004
046182106,Male,42.0,1764.0,16.0,1,2010000.0,14.513645777547573,Married,1,0,1,0,1.001433253288269
046190001,Male,49.0,2401.0,16.0,1,13000000.0,16.380459992348886,Married,1,0,1,0,1.001433253288269
046190004,Male,42.0,1764.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,1,0,1.001433253288269
046200003,Female,52.0,2704.0,6.0,1,950000.0,13.76421831620775,Married,1,0,0,0,1.1430391073226929
046200005,Male,32.0,1024.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,0,0,0.7994408011436462
046200008,Female,21.0,441.0,12.0,1,2100000.0,14.557448378884015,Never Married,0,0,0,0,0.9719610810279846
047010005,Male,34.0,1156.0,12.0,0,500000.0,13.122365377402328,Married,1,0,0,0,0.7710112929344177
047010009,Male,29.0,841.0,6.0,0,1150000.0,13.955273369904273,Married,1,0,0,0,0.7004172205924988
047015202,Female,30.0,900.0,16.0,0,0.0,0.0,Married,1,0,0,0,0.9372068047523499
047030003,Female,49.0,2401.0,9.0,0,600000.0,13.304686600863562,Married,1,0,0,0,1.756833791732788
047030004,Male,34.0,1156.0,6.0,0,150000.0,11.918397239722838,Married,1,0,0,0,0.7710112929344177
047030008,Male,51.0,2601.0,6.0,0,350000.0,12.765691290604371,Married,1,0,0,0,1.3231120109558105
047030009,Female,21.0,441.0,12.0,0,800000.0,13.592368256649284,Never Married,0,0,0,0,0.5721980929374695
047050004,Male,22.0,484.0,12.0,1,2400000.0,14.690979711984754,Never Married,0,0,0,0,1.8779889345169067
047080007,Male,21.0,441.0,6.0,0,850000.0,13.652992804936396,Never Married,0,0,0,0,1.2518891096115112
047120004,Male,35.0,1225.0,6.0,0,600000.0,13.304686600863562,Married,1,0,0,0,0.7710112929344177
047120005,Male,31.0,961.0,9.0,0,1600000.0,14.285514812209815,Married,1,0,0,0,0.7710112929344177
