pidlink,marstat,age,sex
007184101,2:Married,37.0,1:Male
007185102,2:Married,22.0,3:Female
007185203,2:Married,34.0,1:Male
007200001,2:Married,61.0,1:Male
007200002,2:Married,59.0,3:Female
007202101,2:Married,63.0,1:Male
007202102,2:Married,48.0,3:Female
007220001,2:Married,51.0,1:Male
007220002,2:Married,47.0,3:Female
007230002,5:Widowed,70.0,3:Female
007230003,2:Married,45.0,1:Male
007230004,2:Married,35.0,1:Male
007230006,2:Married,29.0,3:Female
007230010,2:Married,28.0,3:Female
007233102,2:Married,41.0,3:Female
007235101,2:Married,37.0,1:Male
007240002,5:Widowed,61.0,3:Female
007240003,2:Married,34.0,1:Male
007240005,2:Married,30.0,3:Female
007250002,5:Widowed,42.0,3:Female
007250004,2:Married,56.0,1:Male
007250005,2:Married,42.0,3:Female
007260001,2:Married,52.0,1:Male
007260002,2:Married,54.0,3:Female
007260003,2:Married,27.0,3:Female
007280002,5:Widowed,70.0,3:Female
007280005,2:Married,33.0,3:Female
007285101,2:Married,28.0,1:Male
007290001,2:Married,64.0,1:Male
007290002,2:Married,50.0,3:Female
008010001,2:Married,52.0,1:Male
008010002,2:Married,49.0,3:Female
008010003,2:Married,29.0,1:Male
008010004,2:Married,27.0,3:Female
008010005,2:Married,23.0,3:Female
008014102,2:Married,30.0,3:Female
008014202,2:Married,32.0,1:Male
008015101,2:Married,25.0,1:Male
008020001,2:Married,57.0,1:Male
008020002,2:Married,54.0,3:Female
008020004,2:Married,33.0,3:Female
008020005,2:Married,31.0,3:Female
008024201,2:Married,37.0,1:Male
008030001,2:Married,51.0,1:Male
008030002,2:Married,47.0,3:Female
008033102,3:Separated,48.0,3:Female
008033103,2:Married,27.0,3:Female
008040001,2:Married,57.0,1:Male
008040002,2:Married,56.0,3:Female
008040003,2:Married,38.0,1:Male
008040004,2:Married,38.0,1:Male
008040005,2:Married,32.0,1:Male
008040007,2:Married,33.0,3:Female
008043102,2:Married,35.0,3:Female
008044102,2:Married,30.0,3:Female
008050001,2:Married,55.0,1:Male
008050002,2:Married,52.0,3:Female
008050005,2:Married,23.0,3:Female
008055101,2:Married,33.0,1:Male
008060002,5:Widowed,78.0,3:Female
008060003,3:Separated,35.0,1:Male
008070001,2:Married,62.0,1:Male
008070002,2:Married,58.0,3:Female
008070004,2:Married,33.0,1:Male
008070005,2:Married,30.0,3:Female
008074102,2:Married,26.0,3:Female
008074201,2:Married,49.0,1:Male
008080001,2:Married,58.0,1:Male
008080002,2:Married,52.0,3:Female
008080003,2:Married,34.0,3:Female
008080004,2:Married,33.0,3:Female
008080005,2:Married,30.0,1:Male
008080006,2:Married,23.0,1:Male
008080007,2:Married,19.0,3:Female
008083101,2:Married,40.0,1:Male
008084101,2:Married,33.0,1:Male
008085102,2:Married,21.0,3:Female
008090001,2:Married,62.0,1:Male
008090002,2:Married,60.0,3:Female
008090005,2:Married,33.0,1:Male
008090006,2:Married,31.0,1:Male
008090007,2:Married,25.0,1:Male
008090008,2:Married,23.0,3:Female
008094102,2:Married,33.0,3:Female
008094202,2:Married,29.0,3:Female
008095102,2:Married,22.0,3:Female
008095201,2:Married,26.0,1:Male
